workload,size_label,size_mb,run,op,bw_MB_s,iops,p99_ms,lat_mean_ms
seq,100M,100.0,1,read,291.003168,2220.177982,0.63488,0.443339550667
seq,100M,100.0,2,read,287.359731,2192.380762,0.626688,0.448283127109
seq,100M,100.0,3,read,290.308556,2214.878512,0.626688,0.443714758702
seq,500M,500.0,1,read,287.766013,2195.480452,0.708608,0.445939913422
seq,500M,500.0,2,read,317.162523,2419.758024,0.626688,0.407268995826
seq,500M,500.0,3,read,316.612076,2415.558444,0.651264,0.407555920813
seq,1G,1024.0,1,read,290.570674,2216.878312,0.618496,0.43893927094
seq,1G,1024.0,2,read,288.578578,2201.679832,0.626688,0.446198174168
seq,1G,1024.0,3,read,290.767262,2218.378162,0.626688,0.44322490165
rand,100M,100.0,1,read,184.465393,1407.359264,0.897024,0.699879679005
rand,100M,100.0,2,read,184.701299,1409.159084,0.897024,0.6981937613
rand,100M,100.0,3,read,189.733961,1447.555244,0.888832,0.680708158527
rand,500M,500.0,1,read,178.305625,1360.363964,0.929792,0.723631526571
rand,500M,500.0,2,read,191.149397,1458.354165,0.9216,0.675333764004
rand,500M,500.0,3,read,180.376355,1376.162384,0.929792,0.715439939984
rand,1G,1024.0,1,read,181.451038,1384.361564,0.929792,0.7113688026
rand,1G,1024.0,2,read,176.182471,1344.165583,0.929792,0.732433117236
rand,1G,1024.0,3,read,179.275461,1367.763224,0.929792,0.719810654068
mix,100M,100.0,1,read,89.500118,682.831717,1.613824,0.894006854005
mix,100M,100.0,1,write,89.985036,686.531347,0.946176,0.5422163661520001
mix,100M,100.0,2,read,87.888094,670.532947,1.10592,0.876042134954
mix,100M,100.0,2,write,88.438541,674.732527,0.684032,0.5831909756970001
mix,100M,100.0,3,read,102.592902,782.721728,1.073152,0.774982582397
mix,100M,100.0,3,write,103.23509,787.621238,0.659456,0.478680945157
mix,500M,500.0,1,read,95.764733,730.626937,1.056768,0.8064167684410001
mix,500M,500.0,1,write,96.210334,734.026597,0.67584,0.5333508462059999
mix,500M,500.0,2,read,101.09883,771.322868,1.056768,0.774230313845
mix,500M,500.0,2,write,101.714807,776.022398,0.667648,0.496209571962
mix,500M,500.0,3,read,94.925957,724.227577,1.073152,0.817395005937
mix,500M,500.0,3,write,95.26671,726.827317,0.67584,0.536957135782
mix,1G,1024.0,1,read,52.562466,401.019796,11.337728,1.473687497881
mix,1G,1024.0,1,write,53.715669,409.818036,7.110656,0.973435033423
mix,1G,1024.0,2,read,91.190778,695.730427,1.859584,0.868306193878
mix,1G,1024.0,2,write,91.636378,699.130087,0.692224,0.5411999509440001
mix,1G,1024.0,3,read,86.289175,658.334167,1.089536,0.903595694563
mix,1G,1024.0,3,write,86.669246,661.233877,0.67584,0.588770056253
