workload,op,size_label,runs,bw_MB_s_mean,bw_MB_s_std,iops_mean,p99_ms_mean
seq,read,100M,3,289.5571516666667,1.9344546123795,2209.145752,0.6294186666666667
seq,read,500M,3,307.180204,16.815435085459832,2343.598973333333,0.6621866666666666
seq,read,1G,3,289.97217133333334,1.2108833529573926,2212.312102,0.6239573333333334
rand,read,100M,3,186.30021766666667,2.9760473567497696,1421.3578639999998,0.8942933333333333
rand,read,500M,3,183.27712566666665,6.895757582923092,1398.2935043333334,0.9270613333333332
rand,read,1G,3,178.96965666666665,2.6475624215656146,1365.4301236666668,0.929792
mix,read,100M,3,93.327038,8.064851647365618,712.0287973333334,1.2642986666666667
mix,read,500M,3,97.26317333333334,3.348146180045362,742.0591273333333,1.0622293333333335
mix,read,1G,3,76.68080633333334,21.030387141426385,585.02813,4.762282666666667
mix,write,100M,3,93.88622233333332,8.13319781407598,716.2950373333333,0.7632213333333334
mix,write,500M,3,97.730617,3.4825183460276206,745.6254373333333,0.6731093333333332
mix,write,1G,3,77.340431,20.60983102171968,590.0606666666666,2.82624
