workload,size_label,size_mb,run,op,bw_MB_s,iops,p99_ms,lat_mean_ms
seq,100M,100.0,1,read,361.539065,2758.324168,1.122304,0.360790214892
seq,100M,100.0,2,read,365.431514,2788.021198,1.122304,0.35683901983300004
seq,100M,100.0,3,read,365.352879,2787.421258,1.138688,0.35707935559799997
seq,500M,500.0,1,read,438.103671,3342.465753,0.577536,0.29712326157700003
seq,500M,500.0,2,read,438.850706,3348.165183,0.569344,0.29732263419399996
seq,500M,500.0,3,read,441.393249,3367.563244,0.577536,0.295592023546
seq,1G,1024.0,1,read,409.336243,3122.987701,0.987136,0.315621406749
seq,1G,1024.0,2,read,413.648081,3155.884412,0.978944,0.31546646964700004
seq,1G,1024.0,3,read,406.138406,3098.590141,1.00352,0.321239785182
rand,100M,100.0,1,read,189.668431,1447.055294,1.646592,0.684870572623
rand,100M,100.0,2,read,189.445631,1445.355464,1.646592,0.685597464476
rand,100M,100.0,3,read,188.449583,1437.756224,1.646592,0.689468535712
rand,500M,500.0,1,read,214.774579,1638.6,0.9216,0.6050326223000001
rand,500M,500.0,2,read,215.43461,1643.635636,0.913408,0.603123275824
rand,500M,500.0,3,read,217.439811,1658.934107,0.913408,0.597462685251
rand,1G,1024.0,1,read,196.470388,1498.950105,1.466368,0.6607555380560001
rand,1G,1024.0,2,read,197.571282,1507.349265,1.466368,0.657387310249
rand,1G,1024.0,3,read,198.239683,1512.448755,1.449984,0.6553252212089999
mix,100M,100.0,1,read,106.904739,815.618438,1.777664,0.7959952218949999
mix,100M,100.0,1,write,107.743516,822.017798,1.028096,0.415255178567
mix,100M,100.0,2,read,120.272747,917.608239,1.056768,0.696561633867
mix,100M,100.0,2,write,120.246535,917.408259,0.63488,0.383819822016
mix,100M,100.0,3,read,122.317265,933.206679,1.036288,0.683593063752
mix,100M,100.0,3,write,122.264842,932.806719,0.626688,0.378438587094
mix,500M,500.0,1,read,115.896965,884.223674,1.04448,0.744799220798
mix,500M,500.0,1,write,115.871778,884.031514,0.626688,0.37695568807700003
mix,500M,500.0,2,read,2.332848,17.79822,191.889408,34.028366039325995
mix,500M,500.0,2,write,2.411483,18.39816,265.289728,21.387590375
mix,500M,500.0,3,read,84.716469,646.335366,1.089536,0.906966327816
mix,500M,500.0,3,write,85.03101,648.735126,0.643072,0.628965336621
mix,1G,1024.0,1,read,67.239505,512.996713,10.944512,1.3004841077459999
mix,1G,1024.0,1,write,67.905242,518.075889,10.15808,0.630423060361
mix,1G,1024.0,2,read,96.60351,737.026297,3.784704,0.905603897707
mix,1G,1024.0,2,write,97.271911,742.125787,1.744896,0.436782518324
mix,1G,1024.0,3,read,60.916173,464.753525,11.206656,1.216673814974
mix,1G,1024.0,3,write,62.056386,473.452655,10.420224,0.904941239071
