io_bytes,io_kbytes,bw_bytes,bw_kbs,iops,runtime_ms,total_ios,lat_mean_ns,lat_min_ns,lat_max_ns,lat_stddev_ns,clat_mean_ns,clat_stddev_ns,bw_min,bw_max,bw_mean,bw_dev,iops_mean,iops_stddev,lat_p1_0_ns,lat_p5_0_ns,lat_p10_0_ns,lat_p20_0_ns,lat_p30_0_ns,lat_p40_0_ns,lat_p50_0_ns,lat_p60_0_ns,lat_p70_0_ns,lat_p80_0_ns,lat_p90_0_ns,lat_p95_0_ns,lat_p99_0_ns,lat_p99_5_ns,lat_p99_9_ns,lat_p100_0_ns,access_type,file_size,run,write_io_bytes,write_io_kbytes,write_bw_bytes,write_bw_kbs,write_iops,write_runtime_ms,write_total_ios,write_lat_mean_ns,write_lat_min_ns,write_lat_max_ns,write_lat_stddev_ns,lat_mean_us,lat_min_us,lat_max_us,lat_stddev_us,clat_mean_us,clat_stddev_us,lat_p1_0_us,lat_p5_0_us,lat_p10_0_us,lat_p20_0_us,lat_p30_0_us,lat_p40_0_us,lat_p50_0_us,lat_p60_0_us,lat_p70_0_us,lat_p80_0_us,lat_p90_0_us,lat_p95_0_us,lat_p99_0_us,lat_p99_5_us,lat_p99_9_us,lat_p100_0_us,write_lat_mean_us,write_lat_min_us,write_lat_max_us,write_lat_stddev_us,runtime_s,io_mb,io_gb,bw_mbs
2910322688,2842112,291003168,284182,2220.177982,10001,22204,443339.550667,269281,3682879,138699.842815,442762.56098,138387.541685,251136,355840,281667.368421,34369.936456,2200.421053,268.597658,272384,276480,280576,288768,305152,346112,501760,536576,552960,561152,577536,593920,634880,929792,1105920,1417216,seq,100M,1,,,,,,,,,,,,443.339550667,269.281,3682.879,138.699842815,442.76256098,138.387541685,272.384,276.48,280.576,288.768,305.152,346.112,501.76,536.576,552.96,561.152,577.536,593.92,634.88,929.792,1105.92,1417.216,,,,,10.001,2775.5,2.71044921875,277.5222473144531
2873884672,2806528,287359731,280624,2192.380762,10001,21926,448283.127109,269007,3379458,136980.550053,447650.7731,136652.22657,252672,349440,282435.368421,32094.732479,2206.526316,250.740097,272384,276480,280576,296960,305152,362496,505856,544768,561152,569344,585728,593920,626688,880640,1073152,1253376,seq,100M,2,,,,,,,,,,,,448.283127109,269.007,3379.458,136.980550053,447.6507731,136.65222657,272.384,276.48,280.576,296.96,305.152,362.496,505.856,544.768,561.152,569.344,585.728,593.92,626.688,880.64,1073.152,1253.376,,,,,10.001,2740.75,2.676513671875,274.0475950241089
2903375872,2835328,290308556,283504,2214.878512,10001,22151,443714.758702,269141,1253310,134886.3262,443070.298361,134527.800553,246528,359168,285107.157895,33136.876929,2227.368421,258.872815,272384,272384,280576,292864,305152,354304,501760,544768,552960,561152,577536,593920,626688,839680,1073152,1220608,seq,100M,3,,,,,,,,,,,,443.71475870200004,269.141,1253.31,134.8863262,443.070298361,134.52780055300002,272.384,272.384,280.576,292.864,305.152,354.304,501.76,544.768,552.96,561.152,577.536,593.92,626.688,839.68,1073.152,1220.608,,,,,10.001,2768.875,2.7039794921875,276.85981369018555
2877947904,2810496,287766013,281021,2195.480452,10001,21957,445939.913422,262037,3407095,135335.747029,445335.760805,135026.024284,248335,357120,277220.947368,33487.29026,2165.736842,261.643915,268288,272384,276480,292864,301056,378880,501760,536576,552960,561152,577536,585728,708608,815104,1089536,2007040,seq,500M,1,,,,,,,,,,,,445.939913422,262.037,3407.095,135.335747029,445.335760805,135.02602428400002,268.288,272.384,276.48,292.864,301.056,378.88,501.76,536.576,552.96,561.152,577.536,585.728,708.608,815.104,1089.536,2007.04,,,,,10.001,2744.625,2.6802978515625,274.43505573272705
3171942400,3097600,317162523,309729,2419.758024,10001,24200,407268.995826,268817,3207282,134610.905465,406843.810248,134339.758947,252416,350720,307792.842105,39409.318144,2404.631579,307.885298,272384,272384,276480,280576,292864,301056,325632,489472,536576,552960,569344,585728,626688,790528,962560,1253376,seq,500M,2,,,,,,,,,,,,407.268995826,268.817,3207.282,134.610905465,406.843810248,134.339758947,272.384,272.384,276.48,280.576,292.864,301.056,325.632,489.472,536.576,552.96,569.344,585.728,626.688,790.528,962.56,1253.376,,,,,10.001,3025.0,2.9541015625,302.46975231170654
3166437376,3092224,316612076,309191,2415.558444,10001,24158,407555.920813,269333,1660688,135056.529579,407106.585396,134753.06623,250624,353280,310379.789474,40622.907636,2424.842105,317.366466,272384,272384,276480,280576,288768,301056,321536,489472,536576,552960,569344,585728,651264,798720,954368,1269760,seq,500M,3,,,,,,,,,,,,407.555920813,269.333,1660.688,135.056529579,407.106585396,134.75306623,272.384,272.384,276.48,280.576,288.768,301.056,321.536,489.472,536.576,552.96,569.344,585.728,651.264,798.72,954.368,1269.76,,,,,10.001,3019.75,2.948974609375,301.9448051452637
2905997312,2837888,290570674,283760,2216.878312,10001,22171,438939.27094,263849,3206731,132526.88057,438364.269045,132216.308431,236032,347136,280360.421053,32296.075356,2190.315789,252.313089,268288,272384,276480,288768,301056,354304,493568,536576,544768,552960,569344,585728,618496,798720,954368,1826816,seq,1G,1,,,,,,,,,,,,438.93927094000003,263.849,3206.731,132.52688057,438.364269045,132.21630843100002,268.288,272.384,276.48,288.768,301.056,354.304,493.568,536.576,544.768,552.96,569.344,585.728,618.496,798.72,954.368,1826.816,,,,,10.001,2771.375,2.7064208984375,277.1097888946533
2886074368,2818432,288578578,281815,2201.679832,10001,22019,446198.174168,269779,3478299,135514.934449,445595.376357,135185.723974,252160,333056,283580.631579,28187.505546,2215.473684,220.214887,272384,276480,276480,296960,305152,362496,505856,544768,552960,569344,577536,593920,626688,724992,921600,1908736,seq,1G,2,,,,,,,,,,,,446.198174168,269.779,3478.299,135.51493444899998,445.59537635699996,135.18572397399998,272.384,276.48,276.48,296.96,305.152,362.496,505.856,544.768,552.96,569.344,577.536,593.92,626.688,724.992,921.6,1908.736,,,,,10.001,2752.375,2.6878662109375,275.2099781036377
2907963392,2839808,290767262,283952,2218.378162,10001,22186,443224.90165,269419,3330812,136198.792617,442618.903362,135861.030316,250368,344832,284981.894737,32978.499322,2226.421053,257.611748,272384,276480,276480,292864,301056,354304,501760,544768,552960,561152,577536,593920,626688,790528,978944,1925120,seq,1G,3,,,,,,,,,,,,443.22490165,269.419,3330.812,136.198792617,442.618903362,135.86103031599998,272.384,276.48,276.48,292.864,301.056,354.304,501.76,544.768,552.96,561.152,577.536,593.92,626.688,790.528,978.944,1925.12,,,,,10.001,2773.25,2.708251953125,277.297269821167
1844838400,1801600,184465393,180141,1407.359264,10001,14075,699879.679005,437316,1260059,136170.868552,699196.138188,135926.989642,168960,198912,179550.315789,11659.859524,1402.736842,91.092653,440320,452608,489472,536576,618496,716800,749568,765952,790528,823296,839680,856064,897024,929792,1036288,1105920,rand,100M,1,,,,,,,,,,,,699.8796790050001,437.316,1260.059,136.170868552,699.196138188,135.926989642,440.32,452.608,489.472,536.576,618.496,716.8,749.568,765.952,790.528,823.296,839.68,856.064,897.024,929.792,1036.288,1105.92,,,,,10.001,1759.375,1.7181396484375,175.91990756988525
