,,iops,iops,iops,iops,iops,bw_mbs,bw_mbs,bw_mbs,bw_mbs,bw_mbs,lat_mean_us,lat_mean_us,lat_mean_us,lat_mean_us,lat_mean_us,lat_stddev_us,lat_stddev_us,lat_stddev_us,lat_stddev_us,lat_stddev_us,clat_mean_us,clat_mean_us,clat_mean_us,clat_mean_us,clat_mean_us,clat_stddev_us,clat_stddev_us,clat_stddev_us,clat_stddev_us,clat_stddev_us,io_mb,io_mb,io_mb,io_mb,io_mb,bw_mean,bw_mean,bw_mean,bw_mean,bw_mean,iops_mean,iops_mean,iops_mean,iops_mean,iops_mean,throughput_effective,throughput_effective,throughput_effective,throughput_effective,throughput_effective
,,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median
access_type,file_size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mix,100M,712.03,61.53,670.53,782.72,682.83,89.0,7.69,83.82,97.84,85.35,848.34,64.16,774.98,894.01,876.04,470.9,19.2,449.56,486.78,476.38,847.66,64.07,774.41,893.32,875.24,470.85,19.21,449.49,486.72,476.33,890.12,76.92,838.25,978.5,853.62,91189.37,7937.87,85962.11,100323.47,87282.53,712.35,61.9,671.58,783.58,681.89,89.0,7.69,83.82,97.84,85.35
mix,1G,585.03,160.45,401.02,695.73,658.33,73.13,20.06,50.13,86.97,82.29,1081.86,339.79,868.31,1473.69,903.6,4199.98,4253.55,436.43,8814.78,3348.73,1081.23,339.82,867.64,1473.09,902.95,4199.95,4253.56,436.36,8814.75,3348.73,731.38,200.55,501.38,869.75,823.0,74992.42,19688.35,52446.16,88791.58,83739.53,585.79,153.92,409.53,693.68,654.16,73.13,20.06,50.13,86.97,82.29
mix,500M,742.06,25.54,724.23,771.32,730.63,92.76,3.19,90.53,96.42,91.33,799.35,22.43,774.23,817.4,806.42,455.05,9.67,445.46,464.79,454.91,798.7,22.39,773.63,816.73,805.73,454.99,9.67,445.39,464.73,454.83,927.67,31.93,905.38,964.25,913.38,94964.04,3237.03,92456.42,98618.32,93817.37,741.86,25.25,722.32,770.37,732.89,92.76,3.19,90.53,96.42,91.33
rand,100M,1421.36,22.71,1407.36,1447.56,1409.16,177.67,2.84,175.92,180.94,176.14,692.93,10.62,680.71,699.88,698.19,140.25,3.58,136.17,142.85,141.74,692.22,10.62,680.0,699.2,697.46,139.99,3.56,135.93,142.55,141.48,1776.88,28.38,1759.38,1809.62,1761.62,181831.86,3675.26,179550.32,186071.58,179873.68,1420.56,28.71,1402.74,1453.68,1405.26,177.67,2.84,175.92,180.94,176.14
rand,1G,1365.43,20.2,1344.17,1384.36,1367.76,170.68,2.52,168.02,173.05,170.97,721.2,10.6,711.37,732.43,719.81,145.68,2.73,143.02,148.48,145.55,720.48,10.62,710.63,731.73,719.09,145.41,2.71,142.77,148.19,145.28,1706.96,25.25,1680.38,1730.62,1709.88,175184.84,2189.75,172867.37,177219.37,175467.79,1368.63,17.11,1350.53,1384.53,1370.84,170.68,2.52,168.02,173.05,170.97
rand,500M,1398.29,52.61,1360.36,1458.35,1376.16,174.79,6.58,170.05,182.29,172.02,704.8,25.85,675.33,723.63,715.44,143.79,7.59,137.05,152.02,142.31,704.09,25.91,674.54,722.97,714.75,143.52,7.52,136.84,151.67,142.05,1748.04,65.77,1700.62,1823.12,1720.38,179269.47,6993.62,174322.53,187270.74,176215.16,1400.53,54.65,1361.89,1463.05,1376.63,174.79,6.58,170.05,182.29,172.02
seq,100M,2209.15,14.76,2192.38,2220.18,2214.88,276.14,1.84,274.05,277.52,276.86,445.11,2.75,443.34,448.28,443.71,136.86,1.91,134.89,138.7,136.98,444.49,2.74,442.76,447.65,443.07,136.52,1.93,134.53,138.39,136.65,2761.71,18.45,2740.75,2775.5,2768.88,283069.96,1805.57,281667.37,285107.16,282435.37,2211.44,14.13,2200.42,2227.37,2206.53,276.14,1.84,274.05,277.52,276.86
seq,1G,2212.31,9.24,2201.68,2218.38,2216.88,276.54,1.15,275.21,277.3,277.11,442.79,3.65,438.94,446.2,443.22,134.75,1.95,132.53,136.2,135.51,442.19,3.63,438.36,445.6,442.62,134.42,1.94,132.22,135.86,135.19,2765.67,11.55,2752.38,2773.25,2771.38,282974.32,2369.65,280360.42,284981.89,283580.63,2210.74,18.51,2190.32,2226.42,2215.47,276.54,1.15,275.21,277.3,277.11
seq,500M,2343.6,128.29,2195.48,2419.76,2415.56,292.95,16.04,274.44,302.47,301.94,420.25,22.24,407.27,445.94,407.56,135.0,0.37,134.61,135.34,135.06,419.76,22.15,406.84,445.34,407.11,134.71,0.35,134.34,135.03,134.75,2929.79,160.38,2744.62,3025.0,3019.75,298464.53,18442.89,277220.95,310379.79,307792.84,2331.74,144.11,2165.74,2424.84,2404.63,292.95,16.04,274.44,302.47,301.94
