timestamp,pattern,run_id,mode,session_name,file_size,bs,iodepth,direct,numjobs,cpu_cores,mem_free_mb,trace_events,trace_size
2025-11-11_20-42-24,sequential,1,cold,readahead_train_sequential_1_cold,2G,2,4,1,2,2,2686,3748808,134M
2025-11-11_20-44-57,sequential,1,warm,readahead_train_sequential_1_warm,2G,2,4,1,2,2,1968,3362538,126M
2025-11-11_20-47-45,sequential,2,cold,readahead_train_sequential_2_cold,2G,2,4,1,2,2,2623,4005167,144M
2025-11-11_20-50-17,sequential,2,warm,readahead_train_sequential_2_warm,2G,2,4,1,2,2,1882,3626604,136M
2025-11-11_20-53-06,sequential,3,cold,readahead_train_sequential_3_cold,2G,2,4,1,2,2,2684,3713380,133M
2025-11-11_20-55-37,sequential,3,warm,readahead_train_sequential_3_warm,2G,2,4,1,2,2,1986,3382981,127M
2025-11-11_20-58-53,random,1,cold,readahead_train_random_1_cold,2G,2,16,1,2,2,1622,5761120,207M
2025-11-11_21-01-39,random,1,warm,readahead_train_random_1_warm,2G,2,16,1,2,2,163,5179994,192M
2025-11-11_21-04-54,random,2,cold,readahead_train_random_2_cold,2G,2,16,1,2,2,1579,5598803,201M
2025-11-11_21-07-43,random,2,warm,readahead_train_random_2_warm,2G,2,16,1,2,2,160,5525896,204M
2025-11-11_21-11-05,random,3,cold,readahead_train_random_3_cold,2G,2,16,1,2,2,1659,6008486,217M
2025-11-11_21-13-53,random,3,warm,readahead_train_random_3_warm,2G,2,16,1,2,2,144,5482592,203M
2025-11-11_21-16-44,mixed,1,cold,readahead_train_mixed_1_cold,2G,64k,8,1,2,2,2910,2808636,98M
2025-11-11_21-19-12,mixed,1,warm,readahead_train_mixed_1_warm,2G,64k,8,1,2,2,2381,2613021,97M
2025-11-11_21-21-55,mixed,2,cold,readahead_train_mixed_2_cold,2G,64k,8,1,2,2,2891,2752100,96M
2025-11-11_21-24-25,mixed,2,warm,readahead_train_mixed_2_warm,2G,64k,8,1,2,2,2301,2856801,106M
2025-11-11_21-27-07,mixed,3,cold,readahead_train_mixed_3_cold,2G,64k,8,1,2,2,2856,2995482,105M
2025-11-11_21-29-36,mixed,3,warm,readahead_train_mixed_3_warm,2G,64k,8,1,2,2,2266,2906035,108M
